,abv,gravity,ibu,ibu_min,ibu_max,abv_min,abv_max,srm_min,srm_max,fg_min,fg_max,og_min
210,5.5,1.05,45.0,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
211,5.7,1.051,23.0,20.0,40.0,4.5,8.5,4.0,14.0,1.004,1.016,1.055
212,7.5,1.076,64.2,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
213,5.5,1.05,45.0,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
214,5.7,1.051,23.0,20.0,40.0,4.5,8.5,4.0,14.0,1.004,1.016,1.055
215,7.5,1.076,64.2,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
216,5.5,1.05,45.0,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
217,5.7,1.051,23.0,20.0,40.0,4.5,8.5,4.0,14.0,1.004,1.016,1.055
218,7.5,1.076,64.2,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
219,5.5,1.05,45.0,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
220,5.7,1.051,23.0,20.0,40.0,4.5,8.5,4.0,14.0,1.004,1.016,1.055
221,7.5,1.076,64.2,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
222,5.5,1.05,45.0,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
223,5.7,1.051,23.0,20.0,40.0,4.5,8.5,4.0,14.0,1.004,1.016,1.055
224,7.5,1.076,64.2,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
225,5.5,1.05,45.0,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
226,5.7,1.051,23.0,20.0,40.0,4.5,8.5,4.0,14.0,1.004,1.016,1.055
227,7.5,1.076,64.2,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
228,5.5,1.05,45.0,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
229,5.7,1.051,23.0,20.0,40.0,4.5,8.5,4.0,14.0,1.004,1.016,1.055
230,7.5,1.076,64.2,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
231,5.5,1.05,45.0,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
232,5.7,1.051,23.0,20.0,40.0,4.5,8.5,4.0,14.0,1.004,1.016,1.055
233,7.5,1.076,64.2,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
234,5.5,1.05,45.0,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
235,5.7,1.051,23.0,20.0,40.0,4.5,8.5,4.0,14.0,1.004,1.016,1.055
236,7.5,1.076,64.2,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
237,5.5,1.05,45.0,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
238,5.7,1.051,23.0,20.0,40.0,4.5,8.5,4.0,14.0,1.004,1.016,1.055
239,7.5,1.076,64.2,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
240,5.5,1.05,45.0,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
241,5.7,1.051,23.0,20.0,40.0,4.5,8.5,4.0,14.0,1.004,1.016,1.055
242,7.5,1.076,64.2,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
243,5.5,1.05,45.0,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
244,5.7,1.051,23.0,20.0,40.0,4.5,8.5,4.0,14.0,1.004,1.016,1.055
245,7.5,1.076,64.2,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
246,5.5,1.05,45.0,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
247,5.7,1.051,23.0,20.0,40.0,4.5,8.5,4.0,14.0,1.004,1.016,1.055
248,7.5,1.076,64.2,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
249,5.5,1.05,45.0,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
250,5.7,1.051,23.0,20.0,40.0,4.5,8.5,4.0,14.0,1.004,1.016,1.055
251,7.5,1.076,64.2,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
252,5.5,1.05,45.0,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
253,5.7,1.051,23.0,20.0,40.0,4.5,8.5,4.0,14.0,1.004,1.016,1.055
254,7.5,1.076,64.2,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
255,5.5,1.05,45.0,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
256,5.7,1.051,23.0,20.0,40.0,4.5,8.5,4.0,14.0,1.004,1.016,1.055
257,7.5,1.076,64.2,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
258,5.5,1.05,45.0,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
259,5.7,1.051,23.0,20.0,40.0,4.5,8.5,4.0,14.0,1.004,1.016,1.055
260,7.5,1.076,64.2,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
261,5.5,1.05,45.0,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
262,5.7,1.051,23.0,20.0,40.0,4.5,8.5,4.0,14.0,1.004,1.016,1.055
263,7.5,1.076,64.2,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
264,5.5,1.05,45.0,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
265,5.7,1.051,23.0,20.0,40.0,4.5,8.5,4.0,14.0,1.004,1.016,1.055
266,7.5,1.076,64.2,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
267,5.5,1.05,45.0,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
268,5.7,1.051,23.0,20.0,40.0,4.5,8.5,4.0,14.0,1.004,1.016,1.055
269,7.5,1.076,64.2,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
270,5.5,1.05,45.0,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
271,5.7,1.051,23.0,20.0,40.0,4.5,8.5,4.0,14.0,1.004,1.016,1.055
272,7.5,1.076,64.2,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
273,5.5,1.05,45.0,30.0,42.0,4.5,5.6,6.0,14.0,1.008,1.014,1.044
